Location,,,LAT,,,LON
Krishnapuram,,,12.869617 ,,,79.719469 
Kumbakonam,,,10.959789 ,,,79.377472 
Madurai,,,9.917347 ,,,78.119622 
Nagercoil,,,8.177313 ,,,77.434370 
Rajapalaiyam,,,9.451111 ,,,77.556121 
Salem,,,11.651165 ,,,78.158672 
Thanjavur,,,10.785233 ,,,79.139093 
Tiruchchirappalli,,,10.815499 ,,,78.696513 
Tirunelveli,,,8.725181 ,,,77.684519 
Tiruvannamalai,,,12.230204 ,,,79.072954 
Tuticorin,,,8.805038 ,,,78.151884 
Valparai,,,10.325163 ,,,76.955299 
Vellore,,,12.905769 ,,,79.137104 
